author,publication_count
Nicoletta Colombo,23
Domenica Lorusso,23
David M. Holtzman,23
Rozalina G. McCoy,23
Marcus Conrad,23
Amina Rakisheva,23
Mohsen Abbasi‐Kangevari,23
Yanfa Yan,22
Magdy Abdelhamid,22
Hugo A. Katus,22
Chao Liu,22
Neeraj Bedi,22
Pei Lin,22
B. P. Abbott,22
Yuexin Liu,22
Juan Wang,22
Ji‐Guang Zhang,22
Adam M. Phillippy,22
Lucas Guimarães Abreu,22
Jia‐Qi Huang,22
Özlem Türeci,22
Scott J. Pilla,22
Jordi Alonso,22
I. Belahcene,22
Yun Zhang,22
Li Fei-Fei,22
Salahdein Aburuz,22
Michael J. Mack,22
Samar Abd ElHafeez,22
Jianlong Wang,22
Michelle Monje,22
Qiang Sun,22
Biykem Bozkurt,22
Kohei Shitara,22
Yi Zhou,22
Wen Liu,22
Jia Li,22
Xiaojie Xu,22
Hanadi Al Hamad,22
Jianjun Zhang,22
Glenn Matfin,22
Fernando J. Martínez,22
Martine Gilard,22
Peng Chen,22
Sidney C. Smith,22
Zemin Zhang,22
Lu Zhang,22
Luc Van Gool,22
Yan Chen,22
Alissa R. Segal,22
S. V. Angelova,22
Mukun He,22
Tony Mok,22
Yang Wu,22
George Em Karniadakis,22
Tammy Hoffmann,22
Yan Zhao,22
Ziyun Wang,22
Julio Rosenstock,22
C. Austin,22
David W. Rooney,22
Ying Yang,22
Yu Sun,22
Yan Huang,22
Volkmar Falk,22
Ana Oaknin,22
Peter Allebeck,22
Wei Shi,22
Jeroen Raes,22
Joseph F. Hair,22
Alexander J. Lazar,22
Baolin Guo,22
Jiang Zhou,22
Chao Ma,22
Feng Xu,21
Guido R. van der Werf,21
Nan Zhang,21
Peter Rossing,21
Eman Abu‐Gharbieh,21
Tomi Akinyemiju,21
Akshaya Srikanth Bhagavathula,21
Tianyi Ma,21
John B.A.G. Haanen,21
Omar M. Yaghi,21
Dipak Kotecha,21
Jianming Xu,21
Hailei Zhang,21
Ning Wang,21
Christian Mueller,21
Ralph S. Baric,21
Yue Zhang,21
Ross Girshick,21
Carlos H. Barrios,21
Geoffrey I. N. Waterhouse,21
Yong Zeng,21
Jianhui Hou,21
Xiaoguang Duan,21
James L. Kirkland,21
Tao Jiang,21
F. Aubin,21
Mohd Javaid,21
Davide Capodanno,21
Philip S. Yu,21
Alán Aspuru‐Guzik,21
Lei Huang,21
Matthew B. Sullivan,21
Yongjun Wang,21
Arndt Vogel,21
Lars Køber,21
John W. McEvoy,21
Carolyn S.P. Lam,21
Keith M. Kerr,21
